code	longitude	latitude	country	ourairports_id	ourairports_ident	ourairports_iata	ourairports_type	openflights_airport_id	openflights_route_id
SVO	37.41121	55.976858	RUS	26396	UUEE	SVO	large_airport	2985	2985
PTY	-79.383499	9.07136	PAN	4793	MPTO	PTY	large_airport	1871	1871
HAV	-82.409103	22.989201	CUB	4839	MUHA	HAV	large_airport	1909	1909
TLV	34.8867	32.011398	ISR	4411	LLBG	TLV	large_airport	1590	1590
BEY	35.487443	33.819833	LBN	5222	OLBA	BEY	large_airport	2177	2177
AMM	35.993198	31.722601	JOR	5212	OJAI	AMM	large_airport	2170	2170
MCT	58.285268	23.600218	OMN	5242	OOMS	MCT	large_airport	2194	2194
SGN	106.652	10.8188	VNM	26708	VVTS	SGN	large_airport	3205	3205
HAN	105.806999	21.221201	VNM	26700	VVNB	HAN	large_airport	3199	3199
RGN	96.133202	16.907301	MMR	26744	VYYY	RGN	large_airport	3239	3239
HEA	62.2283	34.2100	AFG	5069	OAHR	HEA	large_airport	2048	2048
KDH	65.8478	31.5058	AFG	5073	OAKN	KDH	large_airport	2051	2051
MZR	67.2097	36.7069	AFG	5075	OAMS	MZR	large_airport	2053	2053
LAD	13.2312	-8.8584	AGO	2942	FNLU	LAD	large_airport	951	951
TIA	19.7206	41.4147	ALB	3972	LATI	TIA	large_airport	1190	1190
AUH	54.6511	24.4330	ARE	5226	OMAA	AUH	large_airport	2179	2179
EVN	44.3959	40.1473	ARM	6446	UDYZ	EVN	large_airport	3964	3964
ASP	133.9020	-23.8067	AUS	26900	YBAS	ASP	medium_airport	3319	3319
BME	122.2320	-17.9447	AUS	26927	YBRM	BME	large_airport	4319	4319
CNS	145.7550	-16.8858	AUS	26904	YBCS	CNS	large_airport	3322	3322
ISA	139.4890	-20.6639	AUS	26917	YBMA	ISA	medium_airport	3324	3324
PHE	118.6260	-20.3778	AUS	27117	YPPD	PHE	large_airport	3349	3349
TSV	146.7650	-19.2525	AUS	26934	YBTL	TSV	medium_airport	3330	3330
VIE	16.5697	48.1103	AUT	4434	LOWW	VIE	large_airport	1613	1613
GYD	50.0467	40.4675	AZE	6440	UBBB	GYD	large_airport	2922	2922
BJM	29.3185	-3.3240	BDI	3170	HBBA	BJM	large_airport	1120	1120
BRU	4.4844	50.9014	BEL	2155	EBBR	BRU	large_airport	302	302
COO	2.3844	6.3572	BEN	2087	DBBB	COO	large_airport	245	245
OUA	-1.5124	12.3532	BFA	2088	DFFD	OUA	large_airport	246	246
BZL	90.3012	22.8010	BGD	26525	VGBR	BZL	medium_airport	6176	6176
CXB	91.9639	21.4522	BGD	26526	VGCB	CXB	medium_airport	3068	3068
JSR	89.1608	23.1838	BGD	26529	VGJR	JSR	medium_airport	3071	3071
RJH	88.6165	24.4372	BGD	26530	VGRJ	RJH	medium_airport	3072	3072
SPD	88.9089	25.7592	BGD	26531	VGSD	SPD	medium_airport	3073	3073
ZYL	91.8668	24.9632	BGD	26532	VGSY	ZYL	large_airport	3074	3074
SOF	23.4114	42.6967	BGR	3977	LBSF	SOF	large_airport	1194	1194
NAS	-77.4662	25.0390	BHS	4951	MYNN	NAS	large_airport	1953	1953
SJJ	18.3315	43.8246	BIH	4469	LQSA	SJJ	large_airport	1646	1646
MSQ	28.0307	53.8825	BLR	6501	UMMS	MSQ	large_airport	2954	2954
BZE	-88.3082	17.5391	BLZ	4956	MZBZ	BZE	large_airport	1957	1957
LPB	-68.1923	-16.5133	BOL	6184	SLLP	LPB	large_airport	2762	2762
GBE	25.9182	-24.5552	BWA	2864	FBSK	GBE	large_airport	881	881
BGF	18.5188	4.3985	CAF	2873	FEFF	BGF	large_airport	888	888
ZRH	8.5492	47.4647	CHE	4505	LSZH	ZRH	large_airport	1678	1678
CKG	106.6420	29.7192	CHN	27228	ZUCK	CKG	large_airport	3393	3393
CTU	103.9470	30.5785	CHN	27230	ZUUU	CTU	large_airport	3395	3395
HGH	120.4340	30.2295	CHN	27218	ZSHC	HGH	large_airport	3386	3386
KMG	102.9292	25.1019	CHN	27214	ZPPP	KMG	large_airport	3382	3382
SZX	113.8110	22.6393	CHN	27198	ZGSZ	SZX	large_airport	3374	3374
XIY	108.7520	34.4471	CHN	27205	ZLXY	XIY	large_airport	3379	3379
XMN	118.1280	24.5440	CHN	27215	ZSAM	XMN	large_airport	3383	3383
ABJ	-3.9263	5.2614	CIV	2096	DIAP	ABJ	large_airport	253	253
DLA	9.7195	4.0061	CMR	2882	FKKD	DLA	large_airport	897	897
SJO	-84.2088	9.9939	CRI	4810	MROC	SJO	large_airport	1885	1885
LCA	33.6249	34.8751	CYP	3980	LCLK	LCA	large_airport	1197	1197
PRG	14.2600	50.1008	CZE	4408	LKPR	PRG	large_airport	1587	1587
DUS	6.7668	51.2895	DEU	2217	EDDL	DUS	large_airport	345	345
MUC	11.7861	48.3538	DEU	2218	EDDM	MUC	large_airport	346	346
JIB	43.1595	11.5473	DJI	3174	HDAM	JIB	large_airport	4119	4119
CPH	12.6560	55.6179	DNK	2542	EKCH	CPH	large_airport	609	609
PUJ	-68.3634	18.5674	DOM	4636	MDPC	PUJ	large_airport	1760	1760
UIO	-78.3575	-0.1292	ECU	308273	SEQM	UIO	large_airport	2688	2688
ASM	38.9107	15.2919	ERI	3202	HHAS	ASM	medium_airport	3967	3967
PMI	2.7388	39.5517	ESP	4035	LEPA	PMI	large_airport	3998	3998
TLL	24.8328	59.4133	EST	2301	EETN	TLL	large_airport	415	415
HEL	24.9633	60.3172	FIN	2307	EFHK	HEL	large_airport	421	421
LBV	9.4123	0.4586	GAB	2966	FOOL	LBV	large_airport	970	970
LGW	-0.1903	51.1481	GBR	2429	EGKK	LGW	large_airport	502	502
MAN	-2.2750	53.3537	GBR	2398	EGCC	MAN	large_airport	478	478
TBS	44.9547	41.6692	GEO	6453	UGTB	TBS	large_airport	3973	3973
CKY	-13.6120	9.5769	GIN	3146	GUCY	CKY	large_airport	4162	4162
BJL	-16.6522	13.3380	GMB	3076	GBYD	BJL	large_airport	1050	1050
OXB	-15.6537	11.8948	GNB	3097	GGOV	OXB	large_airport	5665	5665
SSG	8.7087	3.7553	GNQ	2876	FGSL	SSG	large_airport	891	891
GOH	-51.6781	64.1909	GRL	114	BGGH	GOH	large_airport	8	8
GUA	-90.5275	14.5833	GTM	4644	MGGT	GUA	large_airport	1767	1767
GEO	-58.2541	6.4985	GUY	6356	SYCJ	GEO	large_airport	4304	4304
SAP	-87.9236	15.4526	HND	4661	MHLM	SAP	large_airport	1772	1772
DBV	18.2682	42.5614	HRV	3984	LDDU	DBV	large_airport	1200	1200
PAP	-72.2925	18.5800	HTI	4825	MTPP	PAP	large_airport	1897	1897
BUD	19.2611	47.4298	HUN	4296	LHBP	BUD	large_airport	1489	1489
CCJ	75.9553	11.1368	IND	26610	VOCL	CCJ	large_airport	3137	3137
GAU	91.5859	26.1061	IND	26501	VEGT	GAU	large_airport	6173	6173
GOI	73.8314	15.3808	IND	26444	VOGO	GOI	large_airport	3007	3007
JAI	75.8122	26.8242	IND	26563	VIJP	JAI	large_airport	3098	3098
LKO	80.8893	26.7606	IND	26570	VILK	LKO	large_airport	3105	3105
PNQ	73.9197	18.5821	IND	26455	VAPO	PNQ	large_airport	3017	3017
TRV	76.9201	8.4821	IND	26629	VOTV	TRV	large_airport	3153	3153
DUB	-6.2701	53.4213	IRL	2533	EIDW	DUB	large_airport	599	599
THR	51.3134	35.6892	IRN	5168	OIII	THR	large_airport	2131	2131
EBL	43.9632	36.2376	IRQ	5292	ORER	EBL	large_airport	3989	3989
KEF	-22.6056	63.9850	ISL	123	BIKF	KEF	large_airport	16	16
MBJ	-77.9134	18.5037	JAM	4681	MKJS	MBJ	large_airport	1780	1780
ALA	77.0405	43.3521	KAZ	6421	UAAA	ALA	large_airport	2908	2908
REP	103.8130	13.4107	KHM	26476	KH-0003		closed	3035	3035
KWI	47.9689	29.2266	KWT	5220	OKKK	KWI	large_airport	2176	2176
VTE	102.5630	17.9883	LAO	26588	VLVT	VTE	large_airport	3120	3120
ROB	-10.3623	6.2338	LBR	3099	GLRB	ROB	large_airport	1063	1063
TIP	13.1590	32.6635	LBY	3227	LY-0019		closed	1157	1157
BTC	81.6788	7.7058	LKA	26465	VCCB	BTC	medium_airport	3026	\N
GIU	80.7285	7.9567	LKA	4392	VCCS	GIU	small_airport	9229	9229
HRI	81.1241	6.2845	LKA	309579	VCRI	HRI	medium_airport	8949	8949
KCT	80.3203	5.9937	LKA	26469	VCCK	KCT	medium_airport	6169	6169
TRR	81.1819	8.5385	LKA	26471	VCCT	TRR	medium_airport	3030	3030
MSU	27.5525	-29.4623	LSO	3022	FXMM	MSU	large_airport	1018	1018
VNO	25.2858	54.6341	LTU	2766	EYVI	VNO	large_airport	3959	3959
LUX	6.2044	49.6233	LUX	2563	ELLX	LUX	large_airport	629	629
RIX	23.9711	56.9236	LVA	2758	EVRA	RIX	large_airport	3953	3953
KIV	28.9310	46.9277	MDA	4571	LUKK	RMO	large_airport	1735	1735
TNR	47.4788	-18.7969	MDG	2908	FMMI	TNR	large_airport	918	918
SKP	21.6214	41.9616	MKD	4573	LWSK	SKP	large_airport	1737	1737
BKO	-7.9499	12.5335	MLI	3066	GABS	BKO	large_airport	1044	1044
TGD	19.2519	42.3594	MNE	4613	LYPG	TGD	large_airport	1741	1741
ULN	106.7670	47.8431	MNG	27212	ZMUB	ULN	large_airport	3380	3380
MPM	32.5726	-25.9208	MOZ	2975	FQMA	MPM	large_airport	979	979
NKC	-15.9697	18.3100	MRT	323315	GQNO	NKC	large_airport	1094	1094
LLW	33.7810	-13.7894	MWI	3018	FWKI	LLW	large_airport	1016	1016
WDH	17.4709	-22.4799	NAM	3039	FYWH	WDH	large_airport	4105	4105
NOU	166.2130	-22.0146	NCL	5021	NWWW	NOU	large_airport	2005	2005
NIM	2.1836	13.4815	NER	2125	DRRN	NIM	large_airport	280	280
MGA	-86.1682	12.1415	NIC	4774	MNMG	MGA	large_airport	1863	1863
OSL	11.0502	60.1210	NOR	2578	ENGM	OSL	large_airport	644	644
BDP	88.0796	26.5708	NPL	26594	VNCG	BDP	small_airport	6180	6180
BHR	84.4294	27.6781	NPL	30707	VNBP	BHR	small_airport	6179	6179
BIR	87.2640	26.4815	NPL	26600	VNVT	BIR	medium_airport	3129	3129
