source	destination	begins	kind	source_dataset	observed_flights	frequency	firstseen_utc	operator_icao	source_ident	destination_ident	openflights_airline	openflights_route_source_id	openflights_route_destination_id
LHR	SFO	0	international	OpenSky-2020-01	302	0.6797	2019-12-31 12:24:03+00:00	UAL	EGLL	KSFO			
SYD	KUL	0	international	OpenSky-2020-01	301	0.6793	2019-12-31 22:49:58+00:00	MAS	YSSY	WMKK	D7	3361	3304
BRU	MUC	0	international	OpenSky-2020-01	300	0.6789	2020-01-01 06:13:38+00:00	DLH	EBBR	EDDM			
YYZ	DFW	0	international	OpenSky-2020-01	298	0.6781	2019-12-31 23:17:54+00:00	SKV	CYYZ	KDFW			
DXB	BLR	0	international	OpenSky-2020-01	297	0.6777	2019-12-31 23:08:14+00:00	UAE	OMDB	VOBL	EK	2188	3131
MIA	GRU	0	international	OpenSky-2020-01	296	0.6773	2019-12-31 16:33:14+00:00	TAM	KMIA	SBGR			
WAW	LHR	0	international	OpenSky-2020-01	293	0.6761	2020-01-01 07:14:20+00:00	LOT	EPWA	EGLL			
HEL	OSL	0	international	OpenSky-2020-01	292	0.6757	2020-01-01 05:13:02+00:00	FIN	EFHK	ENGM			
TLV	VIE	0	international	OpenSky-2020-01	292	0.6757	2020-01-01 04:47:49+00:00	AUA	LLBG	LOWW			
CLT	PHX	0	domestic	OpenSky-2020-01	291	0.6753	2019-12-31 19:48:43+00:00	AAL	KCLT	KPHX			
CMB	KUL	0	international	OpenSky-2020-01	291	0.6753	2020-01-01 00:57:13+00:00	ALK	VCBI	WMKK	D7	3024	3304
ICN	LAX	0	international	OpenSky-2020-01	291	0.6753	2019-12-31 14:00:18+00:00	AAR	RKSI	KLAX			
DXB	SIN	0	international	OpenSky-2020-01	289	0.6745	2019-12-31 17:10:37+00:00	UAE	OMDB	WSSS			
IAH	PHL	0	domestic	OpenSky-2020-01	289	0.6745	2020-01-01 00:19:08+00:00	RPA	KIAH	KPHL			
SFO	TPE	0	international	OpenSky-2020-01	289	0.6745	2019-12-31 16:21:57+00:00	UAL	KSFO	RCTP			
BRU	FRA	0	international	OpenSky-2020-01	288	0.6741	2020-01-01 08:39:56+00:00	DLH	EBBR	EDDF			
DOH	BEY	0	international	OpenSky-2020-01	287	0.6736	2019-12-31 23:39:15+00:00	QTR	OTHH	OLBA			
ZRH	FCO	0	international	OpenSky-2020-01	287	0.6736	2020-01-01 06:15:59+00:00	SWR	LSZH	LIRF			
SVO	WAW	0	international	OpenSky-2020-01	285	0.6728	2020-01-01 06:20:00+00:00	AFL	UUEE	EPWA			
SIN	BOM	8	international	OpenSky-2020-01	284	0.6724	2019-12-31 18:44:14+00:00	SIA	WSSS	VABB	9W	3316	2997
DEL	DOH	0	international	OpenSky-2020-01	284	0.6724	2019-12-31 19:57:21+00:00	QTR	VIDP	OTHH	9W	3093	11051
MUC	HEL	0	international	OpenSky-2020-01	284	0.6724	2020-01-01 06:01:56+00:00	DLH	EDDM	EFHK			
MSQ	DME	0	international	OpenSky-2020-01	283	0.6720	2020-01-01 03:46:18+00:00	BRU	UMMS	UUDD			
MEL	HKG	11	international	OpenSky-2020-01	283	0.6720	2019-12-31 16:29:36+00:00	CPA	YMML	VHHH	AY	3339	3077
YVR	YUL	0	domestic	OpenSky-2020-01	281	0.6711	2019-12-31 21:22:05+00:00	ACA	CYVR	CYUL			
DUB	MUC	0	international	OpenSky-2020-01	280	0.6707	2020-01-01 06:59:51+00:00	DLH	EIDW	EDDM			
SZX	BKK	0	international	OpenSky-2020-01	279	0.6703	2020-01-01 04:00:21+00:00	CSZ	ZGSZ	VTBS			
ZRH	CPH	0	international	OpenSky-2020-01	279	0.6703	2020-01-01 06:13:27+00:00	SWR	LSZH	EKCH			
MAD	DUS	0	international	OpenSky-2020-01	279	0.6703	2020-01-01 06:35:29+00:00	IBE	LEMD	EDDL			
AMS	HEL	0	international	OpenSky-2020-01	278	0.6699	2020-01-01 06:18:12+00:00	KLM	EHAM	EFHK			
FRA	DUS	0	domestic	OpenSky-2020-01	277	0.6694	2020-01-01 08:33:56+00:00	DLH	EDDF	EDDL			
RIX	TLL	0	international	OpenSky-2020-01	277	0.6694	2020-01-01 04:00:50+00:00	BTI	EVRA	EETN			
DOH	BOM	0	international	OpenSky-2020-01	274	0.6681	2019-12-31 22:40:47+00:00	IGO	OTHH	VABB	9W	11051	2997
CDG	HEL	0	international	OpenSky-2020-01	274	0.6681	2020-01-01 05:49:13+00:00	FIN	LFPG	EFHK			
CNS	MEL	0	domestic	OpenSky-2020-01	274	0.6681	2019-12-31 22:21:53+00:00	JST	YBCS	YMML			
SIN	BLR	0	international	OpenSky-2020-01	271	0.6668	2019-12-31 21:40:08+00:00	SIA	WSSS	VOBL			
